Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
"88769: ""Mix & Multi Ouchless Elastics, 25pcs""",,,,1,$5.00 ,,0.01%,,,,0.00%
"88775: ""Pastel Pretty Ponytail Holders, 6pcs""",,,,1,$5.00 ,,0.01%,,,,0.00%
"88776: ""Chunky Charm Ponytail Holders, 12pc""",,,,4,$28.00 ,,0.07%,,,,0.01%
"89004: ""Posh Paris Sequins Bow Headband, Assorted""",,,,1,$5.00 ,,0.01%,,,,0.00%
"89007: ""Fancy Flutter Butterfly Headband, Assorted""",,,,13,$65.00 ,,0.16%,,,,0.02%
"89009: ""Glitter & Glam Headband, Assorted """,,,,31,$124.00 ,,0.30%,,,,0.03%
89015: The Purr-Fect Headband,,,,16,$105.25 ,,0.25%,,,,0.03%
89023: Bow-Licious Headband,,,,1,$5.00 ,,0.01%,,,,0.00%
89030: Happy Birthday Headband,,,,9,$45.00 ,,0.11%,,,,0.01%
89034: Diamond Rosette Headband,,,,17,$82.50 ,,0.20%,,,,0.02%
89037: Unicorn Luck Headband,,,,8,$30.00 ,,0.07%,,,,0.01%
89039: Glitter Petal Flower Headband,,,,3,$12.00 ,,0.03%,,,,0.00%
89055: Gem Bow Headband,,,,6,$29.00 ,,0.07%,,,,0.01%
89056: Chasing Rainbows Headband,,,,5,$18.00 ,,0.04%,,,,0.00%
"89058: ""Blissful Crystal Headbands, 2pcs, Assorted""",,,,8,$54.00 ,,0.13%,,,,0.01%
89059: Sequins Headband,,,,6,$30.00 ,,0.07%,,,,0.01%
89061: Mermalicious Headband,,,,5,$60.00 ,,0.14%,,,,0.01%
"89064: ""Gummy Glitter Glam Headband, Assorted""",,,,7,$28.00 ,,0.07%,,,,0.01%
"89066: ""Liberty Headband w/Scrunchie, 2pcs, Assorted""",,,,11,$27.50 ,,0.07%,,,,0.01%
89068: Sprinkle Sequins Headband,,,,2,$12.00 ,,0.03%,,,,0.00%
89069: Happy Birthday Rhinestone Headband,,,,20,$190.00 ,,0.45%,,,,0.05%
89070: Happy Birthday Multi Headband,,,,25,$250.00 ,,0.60%,,,,0.06%
89071: Midnight Metallic Headband,,,,6,$29.40 ,,0.07%,,,,0.01%
90801: Boutique Tassy Tail Unicorn Hairclip,,,,7,$35.00 ,,0.08%,,,,0.01%
90807: Boutique Cloud Hairclip,,,,2,$8.00 ,,0.02%,,,,0.00%
"90808: ""Boutique Navy Unicorn Star Hairclip, Assorted""",,,,4,$16.00 ,,0.04%,,,,0.00%
"90809: ""Boutique Glitter Rosette Hairclips, 2pcs""",,,,2,$8.00 ,,0.02%,,,,0.00%
"90810: ""Boutique Rockstar Butterfly Hairclips, Assorted""",,,,2,$8.00 ,,0.02%,,,,0.00%
90811: Boutique Dear Owl Hairclip,,,,1,$4.00 ,,0.01%,,,,0.00%
"90814: ""Boutique Liberty Mini Bow Hairclips, 2pcs""",,,,2,$10.00 ,,0.02%,,,,0.00%
"90815: ""Boutique Dachshund Hairclip, Assorted""",,,,3,$12.00 ,,0.03%,,,,0.00%
"90817: ""Boutique Liberty Beauty Bows Hairclips, 2pcs""",,,,1,$5.00 ,,0.01%,,,,0.00%
"90818: ""Boutique Gel Sparkle Hairclips, 2pc, Assorted""",,,,13,$64.00 ,,0.15%,,,,0.02%
"90819: ""Boutique Matte Star Bobby Hairclips, 2pc, Assorted""",,,,2,$10.00 ,,0.02%,,,,0.00%
91203: Boutique Gummy Glitter Headband,,,,24,$144.40 ,,0.33%,,,,0.03%
91203: Boutique Gummy Glitter Headband,,,,-1,($6.00),,,,,,
91204: Boutique Pearls and Twirls Headband,,,,6,$42.00 ,,0.10%,,,,0.01%
91206: Boutique Pretty Precious Headband,,,,13,$114.00 ,,0.27%,,,,0.03%
"91207: ""Boutique Diamante Headband, Assorted""",,,,12,$106.00 ,,0.25%,,,,0.03%
91208: Boutique Pretty Petite Crown Headband,,,,19,$228.00 ,,0.55%,,,,0.05%
91209: Boutique Golden Mermaid Shell Headband,,,,11,$48.50 ,,0.12%,,,,0.01%
91211: Boutique Tiara Treat Headband,,,,17,$136.00 ,,0.33%,,,,0.03%
9351300016804: Rainbow Brush,,,,4,$28.00 ,,0.07%,,,,0.01%
9351300025844: Flower Fairy Purple,,,,3,$24.00 ,,0.06%,,,,0.01%
9351300025851: Fairy Flower Orange,,,,2,$16.00 ,,0.04%,,,,0.00%
"bow3-UNI: ""5"""" Hair grosgrain ribbon with aligator clip closur""",,,,6,$33.00 ,,0.08%,,,,0.01%
HCA192: Alyssa Flower Hair Clips,,,,2,$24.00 ,,0.06%,,,,0.01%
HCA376: Sparkle Mermaid Hair Clips,,,,1,$8.00 ,,0.02%,,,,0.00%
HCA419: Dancing Flower Hair Clips,,,,1,$12.00 ,,0.03%,,,,0.00%
HCA437: Cloudy Day & Rainbow Hair Clips,,,,1,$12.00 ,,0.03%,,,,0.00%
HCA560: Butterfly Pals Hair Clips,,,,1,$12.00 ,,0.03%,,,,0.00%
HCA589: Balloon And The Stars Hair Clips,,,,2,$24.00 ,,0.06%,,,,0.01%
KNOTHB4: Tie Dye Knot Headband,,,,9,$72.80 ,,0.17%,,,,0.02%
largebow: Large Hairbow,,,,5,$60.00 ,,0.14%,,,,0.01%
mediumbow: Medium Bow,,,,22,$186.00 ,,0.44%,,,,0.04%
SL007: Assorted Acrylic Headbands,,,,5,$72.00 ,,0.17%,,,,0.02%
SLLM40: Lily & Momo Hair Clips,,,,1,$12.00 ,,0.03%,,,,0.00%
smallbow: Small Bow,,,,8,$32.50 ,,0.08%,,,,0.01%
,,Hair Sub-Total,,518,"$3,371.55 ",,8.07%,,,,0.80%
Handbags,,,,,,,,,,,
0664: Jewelry Stand Palm Leaves,,,,1,$5.50 ,,0.01%,,,,0.00%
0688: Jewelry Stand Unicorn,,,,4,$61.93 ,,0.15%,,,,0.01%
0695: Jewelry Stand Pineapple,,,,1,$10.00 ,,0.02%,,,,0.00%
1432: Cherry Handbag,,,,1,$26.40 ,,0.06%,,,,0.01%
2866: Fresh & Hot Popcorn Handbag,,,,2,$52.80 ,,0.13%,,,,0.01%
2873: Fun Flamingo Floaty Party Handbag,,,,2,$35.60 ,,0.09%,,,,0.01%
2903: Ice Cream Truck Handbag,,,,1,$35.20 ,,0.08%,,,,0.01%
2941: Retro 8-Bit Gamer Handbag Pink,,,,1,$26.40 ,,0.06%,,,,0.01%
2965: Fizzy Bubble Soda Can Handbag,,,,1,$35.20 ,,0.08%,,,,0.01%
3641: Hamburger Plushie,,,,2,$52.00 ,,0.12%,,,,0.01%
3665: French Fry Plushie,,,,4,$82.50 ,,0.20%,,,,0.02%
4006: Ring Ring Phone Convertible Handbag-Mermazing Bl,,,,2,$73.75 ,,0.18%,,,,0.02%
4938: Mini Plushies-Gummy Bears,,,,2,$72.00 ,,0.17%,,,,0.02%
4945: Mini Plushies-Jelly Beans,,,,3,$112.20 ,,0.27%,,,,0.03%
653753437786: Game Controller Purse,,,,1,$14.50 ,,0.03%,,,,0.00%
6987: Cat Make Up Bag- Tie-DyePink,,,,1,$18.00 ,,0.04%,,,,0.00%
7007: Sequin Unicorn Bag-Pink,,,,2,$68.00 ,,0.16%,,,,0.02%
7014: Sequin Unicorn Bag-Blue,,,,1,$28.00 ,,0.07%,,,,0.01%
83316: Fancy Unicorn Petite Purse,,,,2,$10.00 ,,0.02%,,,,0.00%
83317: Bella the Poodle Petite Purse,,,,3,$27.50 ,,0.07%,,,,0.01%
83318: Funny Bunny Petite Purse,,,,2,$11.00 ,,0.03%,,,,0.00%
83319: Shining Star Petite Purse,,,,3,$16.50 ,,0.04%,,,,0.00%
9767: Glitter Crossbody Pink,,,,4,$60.00 ,,0.14%,,,,0.01%
9774: Glitter Crossbody Gray,,,,3,$45.00 ,,0.11%,,,,0.01%
9842: Glitter Crossbody Hot Pink,,,,3,$36.75 ,,0.09%,,,,0.01%
SLDAD35: Doe a Deer $36 Purse,,,,45,"$1,519.00 ",,3.63%,,,,0.36%
,,Handbags Sub-Total,,97,"$2,535.73 ",,6.07%,,,,0.60%
Jewelry,,,,,,,,,,,
"10330: ""Diamond Sparkle Hat, Lilac""",,,,1,$10.00 ,,0.02%,,,,0.00%
"83401: ""Collapsing Hairbrush, Assorted""",,,,13,$52.00 ,,0.12%,,,,0.01%
84004: Sparkle Butterfly Bracelet & Ring  Set,,,,6,$30.00 ,,0.07%,,,,0.01%
84006: Cutie Cupcake Crunch Bracelet,,,,7,$28.00 ,,0.07%,,,,0.01%
"84008: ""Tints Tones Rainbow Bracelet Set, 5pcs""",,,,9,$54.00 ,,0.13%,,,,0.01%
84014: Very Merry Strawberry Bracelet,,,,3,$12.00 ,,0.03%,,,,0.00%
84015: Flower Rainbow Power Bracelet,,,,6,$24.00 ,,0.06%,,,,0.01%
"84016: ""Fancy Square Love Affair  Bracelet, Assorted""",,,,4,$16.00 ,,0.04%,,,,0.00%
84018: Superpower L'il Flower  Bracelet,,,,8,$38.00 ,,0.09%,,,,0.01%
"84050: ""Pearly to Wed Bracelet Set, 4pcs""",,,,4,$16.00 ,,0.04%,,,,0.00%
"84056: ""Fancy Flutter Bracelet, Assorted""",,,,9,$45.00 ,,0.11%,,,,0.01%
"84066: ""Happy Birthday Bracelet Set, 2pc""",,,,9,$45.00 ,,0.11%,,,,0.01%
84074: Chunky Bobble Multicolour Bracelet,,,,3,$14.00 ,,0.03%,,,,0.00%
"84075: ""Lovely Locket Bracelet Set, 3pcs""",,,,6,$31.00 ,,0.07%,,,,0.01%
84076: Pearfectly Perfect Bracelet,,,,11,$52.25 ,,0.12%,,,,0.01%
84079: Charm-ed & Chain Bracelet,,,,8,$37.25 ,,0.09%,,,,0.01%
"84081: ""Pearly Butterfly Bracelet Set, 4pcs""",,,,4,$24.00 ,,0.06%,,,,0.01%
84083: Pink Heart Bobble Bracelet,,,,2,$8.00 ,,0.02%,,,,0.00%
84084: Ballet Beauty Bracelet,,,,7,$28.00 ,,0.07%,,,,0.01%
"84085: ""Blush Crush Bracelet Set, 4pcs""",,,,15,$57.80 ,,0.14%,,,,0.01%
"84086: ""Magical Mesh Bracelet Set, 2pc""",,,,11,$66.00 ,,0.16%,,,,0.02%
"84087: ""Glimmer Shimmer  Bracelet, Assorted""",,,,7,$28.00 ,,0.07%,,,,0.01%
"84091: ""Mermaid Mist Bracelet Set, 2 pc""",,,,12,$60.00 ,,0.14%,,,,0.01%
84092: Sassy Tassy Bracelet,,,,4,$16.00 ,,0.04%,,,,0.00%
"84093: ""Unicorn Dreams Bracelet Set, 2pcs""",,,,11,$55.00 ,,0.13%,,,,0.01%
84094: Frozen Crystal Bracelet,,,,3,$12.00 ,,0.03%,,,,0.00%
84095: Unicorn Star Bracelet,,,,3,$15.00 ,,0.04%,,,,0.00%
"84096: ""Hot Tropics Bracelet Set, 3pcs, Assorted""",,,,4,$20.00 ,,0.05%,,,,0.00%
"84098: ""Classy Glassy Bracelet Set, 3pcs""",,,,2,$8.00 ,,0.02%,,,,0.00%
84099: Sunshine Sparkle Bracelet,,,,3,$15.00 ,,0.04%,,,,0.00%
84100: Lightning Bolt Revolt Bracelet,,,,6,$21.00 ,,0.05%,,,,0.00%
"84101: ""Dreams Unicorn BFF Bracelet Set, 2pcs""",,,,13,$78.00 ,,0.19%,,,,0.02%
"84102: ""Sparkle Pony Bracelet Set, 2pcs""",,,,6,$36.00 ,,0.09%,,,,0.01%
"84103: ""Mango Tango Bracelet Set, 5pcs""",,,,9,$54.00 ,,0.13%,,,,0.01%
84104: Pretty Pastel Soft Touch Bracelet 2pc,,,,3,$18.00 ,,0.04%,,,,0.00%
"84106: ""Rockin' Rainbow Bracelet, Assortment""",,,,4,$24.00 ,,0.06%,,,,0.01%
84108: Enchanting Heart Bracelet,,,,1,$6.00 ,,0.01%,,,,0.00%
"84109: ""Dragonfly Spring Bracelet, 2pc, Assorted""",,,,1,$6.00 ,,0.01%,,,,0.00%
"84110: ""Pink Love Bracelet,  4pcs""",,,,5,$35.00 ,,0.08%,,,,0.01%
"86006: ""Cutie Cupcake Crunch Necklace, Assorted""",,,,5,$25.00 ,,0.06%,,,,0.01%
86035: Cotton Candy NL & BL Set,,,,5,$45.00 ,,0.11%,,,,0.01%
86047: Flutter Me By NL & BL Set,,,,4,$28.00 ,,0.07%,,,,0.01%
86049: Colour Me Rainbow NL & BL Set,,,,5,$25.00 ,,0.06%,,,,0.01%
"86052: ""Fancy Flutter Necklace, Assorted""",,,,12,$84.00 ,,0.20%,,,,0.02%
86060: Sister's Necklace Set of 2pcs,,,,18,$180.00 ,,0.43%,,,,0.04%
86065: Vividly Vibrant NL & BL Set,,,,8,$64.00 ,,0.15%,,,,0.02%
86077: Perfectly Perfect Necklace,,,,12,$57.25 ,,0.14%,,,,0.01%
86088: Mon Cheri - Carded Gift Set,,,,6,$22.00 ,,0.05%,,,,0.01%
"86092: ""Lollypop/Rainbow Necklace, Assortment""",,,,8,$32.00 ,,0.08%,,,,0.01%
86093: Pink Unicorn Necklace,,,,2,$20.00 ,,0.05%,,,,0.00%
86095: Ballet Beauty Necklace,,,,4,$16.00 ,,0.04%,,,,0.00%
86099: Fun in the Sun NL & BL Set,,,,8,$40.00 ,,0.10%,,,,0.01%
86103: Rainbow Tassel Necklace,,,,2,$5.00 ,,0.01%,,,,0.00%
"86105: ""Magical Mesh Necklace, Assorted""",,,,2,$10.00 ,,0.02%,,,,0.00%
86107: Magic Unicorn NL & BL Set,,,,8,$32.00 ,,0.08%,,,,0.01%
86108: Mermaid Mist Necklace,,,,7,$36.00 ,,0.09%,,,,0.01%
86109: Pinky Pearl NL & BL Set,,,,6,$36.00 ,,0.09%,,,,0.01%
86110: Sassy Tassy Necklace,,,,4,$20.00 ,,0.05%,,,,0.00%
86111: Unicorn BFF Necklace Set 2pcs,,,,15,$99.00 ,,0.24%,,,,0.02%
86112: Frozen Crystal Necklace,,,,7,$42.00 ,,0.10%,,,,0.01%
86113: BFF Butterfly Share & Tear Necklace 2pcs,,,,7,$42.00 ,,0.10%,,,,0.01%
86114: Think Pink NL & BL Set,,,,3,$21.00 ,,0.05%,,,,0.00%
86115: Rockin' Heart Necklace,,,,9,$45.00 ,,0.11%,,,,0.01%
"86116: ""Fairy Princess Dust Necklace, Assorted""",,,,2,$12.00 ,,0.03%,,,,0.00%
86117: Lightning Bolt Revolt Necklace,,,,7,$35.00 ,,0.08%,,,,0.01%
"86119: ""Glitter Unicorn Lightning Necklace, Assorted""",,,,9,$44.32 ,,0.11%,,,,0.01%
86120: Butterfly Wishes BFF Necklace,,,,18,$157.00 ,,0.38%,,,,0.04%
86121: Mango Tango Necklace,,,,6,$30.00 ,,0.07%,,,,0.01%
86122: Sweet Tart Heart NL & BL Set,,,,9,$63.00 ,,0.15%,,,,0.01%
86123: Enchanting Heart Necklace,,,,9,$54.00 ,,0.13%,,,,0.01%
"86124: ""Purple Rainbow NL/BL Set, 2pc, Assorted""",,,,1,$7.00 ,,0.02%,,,,0.00%
"86125: ""White Unicorn NL/BL Set, 2pc""",,,,8,$56.00 ,,0.13%,,,,0.01%
"86126: ""Double Rainbow NL/BL Set, 2pc""",,,,9,$54.00 ,,0.13%,,,,0.01%
86127: Fancy Unicorn Necklace,,,,8,$48.00 ,,0.11%,,,,0.01%
"86128: ""Gumball Rainbow NL/BL Set, 2pc""",,,,7,$42.00 ,,0.10%,,,,0.01%
"86129: ""Matte Mermaid Necklace, Assortment""",,,,6,$30.00 ,,0.07%,,,,0.01%
"86130: ""Arabian Princess NL/BL Set, 2pc""",,,,8,$56.00 ,,0.13%,,,,0.01%
"86131: ""Beaded Bubblegum NL/BL Set, 2pc""",,,,6,$35.00 ,,0.08%,,,,0.01%
"86132: ""Best Friends Rainbow Unicorn NL Set, 2pc""",,,,5,$50.00 ,,0.12%,,,,0.01%
"86133: ""Cheerful Starry Unicorn NL/BL Set, 2 pc""",,,,8,$56.00 ,,0.13%,,,,0.01%
86402: Today I Can Be MKBU Charm 5pc Necklace,,,,3,$20.00 ,,0.05%,,,,0.00%
"87502: ""Clip On Earrings, Assorted, PDQ Display, 24pcs""",,,,26,$113.50 ,,0.27%,,,,0.03%
90001: Boutique Sweet Heart Bracelet,,,,2,$10.00 ,,0.02%,,,,0.00%
90002: Boutique Bumpy Bead Bracelet,,,,12,$60.00 ,,0.14%,,,,0.01%
90003: Boutique Pastel Shell Bracelet,,,,3,$18.00 ,,0.04%,,,,0.00%
90004: Boutique Love Bracelet,,,,10,$60.00 ,,0.14%,,,,0.01%
90005: Boutique Superstar Bracelet,,,,4,$24.00 ,,0.06%,,,,0.01%
90006: Boutique Braided Bracelet,,,,3,$18.00 ,,0.04%,,,,0.00%
90010: Boutique Golden Rainbow Bracelet,,,,2,$12.00 ,,0.03%,,,,0.00%
"90011: ""Boutique Shimmer Butterfly Bracelet,  2pc, Assorted""",,,,1,$7.00 ,,0.02%,,,,0.00%
90012: Boutique Star Key Bracelet,,,,2,$12.00 ,,0.03%,,,,0.00%
90013: Boutique Holo Crystal Bracelet,,,,6,$43.60 ,,0.10%,,,,0.01%
"90202: ""Boutique Shimmer Flower Rings, 5pcs""",,,,15,$87.00 ,,0.21%,,,,0.02%
"90204: ""Boutique Rose Rings & Earring Set, 3 Rings, 1 Set of Clip o",,,,6,$36.00 ,,0.09%,,,,0.01%
90401: Boutique Butterfly Gem Necklace,,,,8,$56.00 ,,0.13%,,,,0.01%
90402: Boutique Unicorn Adorn Necklace,,,,1,$5.00 ,,0.01%,,,,0.00%
90403: Boutique Rainbown Magic Necklace,,,,1,$5.00 ,,0.01%,,,,0.00%
90405: Boutique Bumpy Bead Necklace,,,,3,$15.00 ,,0.04%,,,,0.00%
90406: Boutique Pastel Shell Necklace,,,,6,$36.00 ,,0.09%,,,,0.01%
90407: Boutique Love Necklace,,,,7,$42.00 ,,0.10%,,,,0.01%
90408: Boutique Locket Necklace,,,,7,$42.00 ,,0.10%,,,,0.01%
"90409: ""Boutique Rose Necklace, Assorted""",,,,2,$10.00 ,,0.02%,,,,0.00%
90410: Boutique Superstar Necklace,,,,3,$15.00 ,,0.04%,,,,0.00%
90411: Boutique Braided Necklace,,,,5,$30.00 ,,0.07%,,,,0.01%
90415: Boutique Precious Heart Necklace,,,,2,$16.00 ,,0.04%,,,,0.00%
90416: Boutique Golden Rainbow Necklace,,,,3,$21.60 ,,0.05%,,,,0.01%
90417: Boutique Holo Crystal Necklace,,,,5,$40.05 ,,0.10%,,,,0.01%
"90418: ""Boutique Glitter Heart Necklace, Assorted""",,,,8,$48.00 ,,0.11%,,,,0.01%
"91210: ""Boutique Butterfly Bow Headband, Assorted""",,,,13,$96.00 ,,0.23%,,,,0.02%
9351300019119: Valentines bracelet and necklace set red,,,,3,$11.00 ,,0.03%,,,,0.00%
9351300025370: Mermaid Necklace,,,,2,$12.00 ,,0.03%,,,,0.00%
9351300025554: Color Bracelet,,,,2,$8.00 ,,0.02%,,,,0.00%
elf5: Elf Earrings 5,,,,2,$25.90 ,,0.06%,,,,0.01%
HCG159: Unicorn Snapclip,,,,4,$23.10 ,,0.06%,,,,0.01%
Pop It: Pop It's,,,,1,$9.95 ,,0.02%,,,,0.00%
PPBCF434: Galaxy pearl bracelet,,,,4,$14.00 ,,0.03%,,,,0.00%
PPBERG025: Rainbow fantasy pierced earrings,,,,5,$23.10 ,,0.06%,,,,0.01%
PPHBG119: Fluttering Butterlfy Headband,,,,1,$3.30 ,,0.01%,,,,0.00%
PPHCG117: Sweet treats Hairclips,,,,1,$3.30 ,,0.01%,,,,0.00%
PPHCG12: Mystic Mermaid Hairclips,,,,3,$13.20 ,,0.03%,,,,0.00%
PPHCG123: Glitter Unicorn Hairclips,,,,1,$6.60 ,,0.02%,,,,0.00%
PPHCG140: Pretty glitter unicorn hair clips,,,,4,$20.00 ,,0.05%,,,,0.00%
PPHCG-495: Resin bow with square gem hair,,,,3,$9.90 ,,0.02%,,,,0.00%
PPHCTS4200: Mermaid hairclips,,,,2,$8.80 ,,0.02%,,,,0.00%
PPLKC101H: Colourful Butterfly Earring Stand,,,,4,$64.50 ,,0.15%,,,,0.02%
PPNCF385B: Sparkling Princess Necklace V2,,,,6,$36.00 ,,0.09%,,,,0.01%
PPNCF411: Looks like candy necklace,,,,2,$13.20 ,,0.03%,,,,0.00%
PPNCF434: Galaxy pearl necklace,,,,3,$19.20 ,,0.05%,,,,0.00%
PPNCG137: Glitter Seahorse ball chain necklace,,,,2,$6.60 ,,0.02%,,,,0.00%
PPNCM003: Best Friends Mood Necklace 3,,,,1,$8.00 ,,0.02%,,,,0.00%
RRM613: Mermaid mood ring,,,,10,$44.00 ,,0.11%,,,,0.01%
RRM614: Cotton Candy mood ring,,,,2,$22.00 ,,0.05%,,,,0.01%
S4060: Christmas Stick On Earrings 30 day,,,,2,$8.00 ,,0.02%,,,,0.00%
SAC251: Princess notebook,,,,1,$6.60 ,,0.02%,,,,0.00%
SAC252: Fairy notebook,,,,1,$4.00 ,,0.01%,,,,0.00%
ZGUNI1234: Create Your Own Bracelets,,,,2,$32.00 ,,0.08%,,,,0.01%
,,Jewelry Sub-Total,,779,"$4,505.87 ",,10.78%,,,,1.07%
Keychains,,,,,,,,,,,
710-102: POM POM GEL PENS PDQ - 9 PC,,,,8,$61.20 ,,0.15%,,,,0.01%
860-459: UNICORN FURRY POM-POM CLIP,,,,3,$6.60 ,,0.02%,,,,0.00%
,,Keychains Sub-Total,,11,$67.80 ,,0.16%,,,,0.02%
Rings,,,,,,,,,,,
"84097: ""Blissfull Crystal Bracelet Set, 2pcs, Assorted""",,,,4,$20.00 ,,0.05%,,,,0.00%
84508: Fairy Flower Ring Set 5pcs,,,,4,$20.00 ,,0.05%,,,,0.00%
84509: Under the Sea Ring Set 6pcs,,,,4,$36.00 ,,0.09%,,,,0.01%
84510: Sweet Treats Ring Set 6pcs,,,,2,$18.00 ,,0.04%,,,,0.00%
84514: Unicorn Ring Set 5pcs,,,,2,$12.00 ,,0.03%,,,,0.00%
"84516: ""Rainbow Rings, 24pcs""",,,,25,$98.00 ,,0.23%,,,,0.02%
"90201: ""Boutique Sassy Rings, 4pcs""",,,,3,$24.00 ,,0.06%,,,,0.01%
"90203: ""Boutique Heart Star Rings, 3pcs""",,,,6,$48.00 ,,0.11%,,,,0.01%
"90205: ""Boutique Butterfly & Unicorn Ring, 3pcs""",,,,1,$8.00 ,,0.02%,,,,0.00%
"90206: ""Boutique Butterfly Gem Rings, 3pcs""",,,,4,$32.00 ,,0.08%,,,,0.01%
,,Rings Sub-Total,,55,$316.00 ,,0.76%,,,,0.08%
Watch,,,,,,,,,,,
071: Rainbolts - Watchitude Slap Watch,,,,1,$20.00 ,,0.05%,,,,0.00%
109: Bubble Gum - Slap Bracelet - Fuzz'd x Watchitude,,,,1,$8.80 ,,0.02%,,,,0.00%
178: Watercolor Hearts - Watchitude Slap Watch,,,,3,$62.00 ,,0.15%,,,,0.01%
213: Black Tuxedo - Scrunchie - Fuzz'd x Watchitude,,,,1,$5.50 ,,0.01%,,,,0.00%
277: Sassy Sequins - Watchitude Slap Watch,,,,3,$66.00 ,,0.16%,,,,0.02%
279: Butterfly - Watchitude Slap Watch,,,,1,$22.00 ,,0.05%,,,,0.01%
282: Leopard Camo - Watchitude Slap Watch,,,,5,$108.00 ,,0.26%,,,,0.03%
356: Unicorn Dreams - Watchitude Slap Watch,,,,4,$86.00 ,,0.21%,,,,0.02%
432: Rainbow Unicorns - Watchitude Slap Watch,,,,1,$22.00 ,,0.05%,,,,0.01%
454: Mermaids Party - Watchitude Slap Watch,,,,5,$110.00 ,,0.26%,,,,0.03%
533: Army Camo - Watchitude Scented Hairbrush,,,,1,$15.00 ,,0.04%,,,,0.00%
534: Watercolor Hearts - Watchitude Scented Hairbrush,,,,2,$23.25 ,,0.06%,,,,0.01%
535: Rainbow Playground - Watchitude Scented Hairbrush,,,,3,$39.00 ,,0.09%,,,,0.01%
538: Birthday Treats - Scented Hair Brush by Watchitude,,,,1,$16.50 ,,0.04%,,,,0.00%
545: Butterfly Bash - Watchitude Slap Watch,,,,1,$20.00 ,,0.05%,,,,0.00%
547: Rainbow Tie Dye - Watchitude Slap Watch,,,,4,$82.00 ,,0.20%,,,,0.02%
623: Sassy Sequins - Light Up Watch - Watchitude Glow,,,,2,$42.00 ,,0.10%,,,,0.01%
624: Princess Unicorn - Light Up Watch - Watchitude Glow,,,,1,$20.00 ,,0.05%,,,,0.00%
625: Unicorn World - Light Up Watch - Watchitude Glow,,,,3,$66.00 ,,0.16%,,,,0.02%
626: Sprinkles - Light Up Watch - Watchitude Glow,,,,1,$22.00 ,,0.05%,,,,0.01%
633: Cotton Candy - Light Up Watch - Watchitude Glow,,,,3,$64.00 ,,0.15%,,,,0.02%
636: Rainbow Tie Dye - Light Up Watch - Watchitude Glow,,,,4,$80.00 ,,0.19%,,,,0.02%
637: Tropical Tie Dye - Light Up Watch - Watchitude Glow,,,,2,$44.00 ,,0.11%,,,,0.01%
,,Watch Sub-Total,,53,"$1,044.05 ",,2.50%,,,,0.25%
,,Accessories Sub-Total,,"4,159","$41,802.68 ",,,,,,9.94%
Apparel,,,,,,,,,,,
Clothes,,,,,,,,,,,
724-890: CATICORN LOCK & KEY JOURNAL,,,,3,$42.60 ,,3.62%,,,,0.01%
820-1709M: GUMBALL PLUSH PANTS 2,,,,1,$32.00 ,,2.72%,,,,0.01%
,,Clothes Sub-Total,,4,$74.60 ,,6.33%,,,,0.02%
Costumes,,,,,,,,,,,
"22103: ""Bodysuit, Iridescent, Size 3-4""",,,,4,$48.00 ,,4.08%,,,,0.01%
"32315: ""Pink Sequins Butterfly Dress & Wings, Size 5-7""",,,,1,$36.00 ,,3.06%,,,,0.01%
"41325: ""Fancy Flutter Skirt With Wings & Wand, Pink, Size 4-6""",,,,2,$56.00 ,,4.76%,,,,0.01%
"41385: ""Fancy Flutter Skirt With Wings & Wand, Blue, Size 4-6""",,,,2,$56.00 ,,4.76%,,,,0.01%
"41585: ""Midnight Butterfly Tutu With Wings & HB, Size 4-6""",,,,2,$43.75 ,,3.72%,,,,0.01%
"42115: ""Magical Unicorn Skirt & Wings, Pastel, Size 4-6""",,,,2,$49.00 ,,4.16%,,,,0.01%
"42925: ""Rainbow Sequins Skirt w/Wings & Wand, Size 4-6""",,,,6,$156.00 ,,13.25%,,,,0.04%
"43405: ""Daisy Tutu With Wings & Wand, Size 4-6""",,,,1,$21.00 ,,1.78%,,,,0.00%
43805: Neon Rainbow Tutu With Wings & Wand Size 4-6,,,,1,$28.00 ,,2.38%,,,,0.01%
"44115: ""Rose Gold Tutu & Wings Set, Size 4-6""",,,,2,$44.00 ,,3.74%,,,,0.01%
"44205: ""Party Fun Sequin Skirt, Size 4-6""",,,,1,$27.00 ,,2.29%,,,,0.01%
"46410: ""Iridescent Bunny Tutu & Headband, Size 4-6""",,,,1,$30.00 ,,2.55%,,,,0.01%
"46530: ""Shoot for the Stars Tutu, Size 4-6     """,,,,1,$30.00 ,,2.55%,,,,0.01%
"46620: ""Rose Tutu, Dk Pink, Size 4-6""",,,,1,$25.00 ,,2.12%,,,,0.01%
"50925: ""Precious Pink Sequins Cape, Size 5-6""",,,,1,$46.00 ,,3.91%,,,,0.01%
"51955: ""Royal Princess Cape, Gold/Pink, Size 5-7""",,,,2,$68.00 ,,5.77%,,,,0.02%
"54902: ""Dragon Toddler Cape, Green/Blue, Size 2-3T""",,,,1,$13.00 ,,1.10%,,,,0.00%
"67885: ""Super-duper Tutu/Cape/Mask, Pink/Navy, Size 4-6""",,,,2,$46.75 ,,3.97%,,,,0.01%
"81995: ""Make-Up Artist Set Includes 9 Accessories, Size 5-6""",,,,2,$84.00 ,,7.13%,,,,0.02%
