Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
CIN107: CHARM IT! 4mm Gold Neon Bead Necklace,,,,1,$8.00 ,,0.02%,,,,0.00%
FZA01C8: Gold Glitter Anna Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
MIC01C2: Gold Glitter Mickey Mouse Icon Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
PRN01C73: Gold Castle Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
PRN01C74: Gold Princess Book Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
PRN01C75: Gold Swivel Belle Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
PRN01C79: Gold Swivel Ariel Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
PRN01C80: Gold Swivel Snow White Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
PRN01C83: Gold Swivel Tiana Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
,,Charms Sub-Total,,564,"$4,745.00 ",,11.35%,,,,1.13%
Dress Up,,,,,,,,,,,
"10410: ""Glitter Princess Hat, Pink""",,,,1,$6.00 ,,0.01%,,,,0.00%
10530: Rapunzel Hat With Braid,,,,1,$15.00 ,,0.04%,,,,0.00%
"11810: ""Ribbon Tiara, Lt Pink""",,,,8,$104.00 ,,0.25%,,,,0.02%
"11820: ""Ribbon Tiara, Dk Pink""",,,,7,$84.50 ,,0.20%,,,,0.02%
"11830: ""Ribbon Tiara, Lilac""",,,,6,$78.00 ,,0.19%,,,,0.02%
11960: Gold Glitter Tiara,,,,2,$14.00 ,,0.03%,,,,0.00%
12590: Captain Hook Hat,,,,2,$10.00 ,,0.02%,,,,0.00%
13460: Sequin Crown With Veil,,,,2,$28.00 ,,0.07%,,,,0.01%
"13700: ""Storybook Princess Braid, Blonde, 28""""""",,,,29,$278.00 ,,0.67%,,,,0.07%
"14010: ""Reversible Spider Bat Mask, Red/Black""",,,,6,$30.00 ,,0.07%,,,,0.01%
14110: Pirate Hook,,,,2,$6.00 ,,0.01%,,,,0.00%
14200: Wizard Wand,,,,2,$13.50 ,,0.03%,,,,0.00%
14315: Enchanted Unicorn EVA Shield,,,,3,$40.00 ,,0.10%,,,,0.01%
14316: Enchanted Unicorn EVA Sword,,,,1,$14.00 ,,0.03%,,,,0.00%
15000: Mermaid Wands Assorted,,,,22,$110.00 ,,0.26%,,,,0.03%
15210: Unicorn Sequins Wand,,,,4,$18.00 ,,0.04%,,,,0.00%
15310: Fairy Princess Tiara,,,,1,$9.00 ,,0.02%,,,,0.00%
"15800: ""Glitter Rainbow Wand, Multi/Gold""",,,,5,$27.00 ,,0.06%,,,,0.01%
"15890: ""Glitter Rainbow Wand, Multi/Fuchsia""",,,,12,$72.00 ,,0.17%,,,,0.02%
15960: Fanciful Unicorn Wand,,,,6,$30.00 ,,0.07%,,,,0.01%
16300: Ladybug Wings & Headband,,,,2,$19.00 ,,0.05%,,,,0.00%
19120: Rapunzel Princess EVA Mirror,,,,9,$96.00 ,,0.23%,,,,0.02%
19130: Snow White Princess EVA Mirror,,,,2,$18.00 ,,0.04%,,,,0.00%
"20920: ""Chandelle Boa, Dk Pink""",,,,2,$22.00 ,,0.05%,,,,0.01%
"22510: ""Princess Swirl Gloves, Light Pink""",,,,3,$36.00 ,,0.09%,,,,0.01%
"22600: ""Storybook Princess Gloves, White""",,,,2,$24.00 ,,0.06%,,,,0.01%
"22620: ""Princess Gloves with Bow, Hot Pink""",,,,5,$60.00 ,,0.14%,,,,0.01%
86027: My Heart Will Go On NL & BL Set,,,,8,$55.00 ,,0.13%,,,,0.01%
89062: Icy Empress Headband,,,,16,$113.00 ,,0.27%,,,,0.03%
"91401: ""Boutique Unicorn & Star Wands, Assorted""",,,,7,$42.00 ,,0.10%,,,,0.01%
